ambient,coolant,motor_speed,torque,stator_yoke,stator_tooth,stator_winding,profile_id
-0.87218577,-1.0909593,2.0241165,-0.26593214,-0.8921509,-0.5931554,-0.41324353,4
-0.8557906,-1.0784281,2.0241172,-0.26516494,-0.89205426,-0.5880122,-0.40920717,4
-0.7989425,-1.093909,2.0241168,-0.26290956,-0.8856903,-0.5807681,-0.4062917,4
-0.71380293,-1.0814302,2.024118,-0.26477388,-0.8844835,-0.57820266,-0.39988616,4
-0.7673637,-1.0876884,2.0241168,-0.26468828,-0.8811347,-0.57704824,-0.39550316,4
-0.89156306,-1.0929565,2.0241187,-0.26354006,-0.8792253,-0.57411325,-0.3875954,4
-0.6919062,-1.0798792,2.0241165,-0.26427892,-0.8710616,-0.5718579,-0.38487917,4
-0.834456,-1.0939226,2.0241156,-0.26286283,-0.86929184,-0.5657993,-0.38732544,4
-0.69990104,-1.0880806,2.024115,-0.263784,-0.86740357,-0.55323535,-0.3807628,4
-0.6800329,-1.0902154,2.0241172,-0.26512286,-0.87454176,-0.5542687,-0.37332478,4
-0.47914955,-1.0928966,2.0241184,-0.2639746,-0.8723066,-0.5474242,-0.37211746,4
-0.68746966,-1.0789038,2.0241182,-0.2618633,-0.8681774,-0.5361663,-0.37945804,4
-0.59839135,-1.0922749,2.0241184,-0.26369673,-0.86443645,-0.53189486,-0.3741869,4
-0.2534787,-1.0841995,2.0241199,-0.26361558,-0.8638825,-0.5311186,-0.37139982,4
-0.23783334,-1.0804315,2.0241191,-0.26424322,-0.8576394,-0.53014165,-0.37193057,4
-0.52346987,-1.0900097,2.0241177,-0.26418313,-0.8580862,-0.5300834,-0.370866,4
-0.78309137,-1.0684934,2.0241163,-0.26290894,-0.8561324,-0.5302063,-0.36177212,4
-0.81514597,-1.0850697,2.0241191,-0.2632395,-0.8556861,-0.52991176,-0.36385942,4
-0.6054176,-1.0766051,2.024118,-0.26293993,-0.84930503,-0.5294304,-0.368356,4
-0.7255939,-1.0691972,2.0241184,-0.26383358,-0.84773934,-0.5271315,-0.3634473,4
-0.854834,-1.0826466,2.0241187,-0.26277947,-0.8403683,-0.52660096,-0.35995507,4
-0.98364556,-1.065015,2.0241199,-0.26388666,-0.83485454,-0.5226339,-0.3564259,4
-0.6362657,-1.0752544,2.024116,-0.26378042,-0.82301563,-0.52167594,-0.36052546,4
-0.7928659,-1.0685484,2.0241184,-0.26406863,-0.82223606,-0.5206388,-0.3531046,4
-0.55795956,-1.0603695,2.0241187,-0.26343203,-0.8180067,-0.51813143,-0.35068908,4
-0.67812985,-1.0747323,2.0241184,-0.26349518,-0.8176374,-0.5110122,-0.35111296,4
-0.64428055,-1.0469073,2.024118,-0.26443735,-0.81757534,-0.50880456,-0.35218495,4
-0.64808077,-1.0647335,2.0241165,-0.26507425,-0.81625324,-0.48916063,-0.34324208,4
-0.52798074,-1.058245,2.0241175,-0.26321,-0.816695,-0.49661914,-0.35271308,4
-0.7625417,-1.047792,2.0241196,-0.2646908,-0.8155077,-0.4967145,-0.3449716,4
-0.7127781,-1.0606575,2.024119,-0.26342544,-0.81471986,-0.479982,-0.3452324,4
-0.8204598,-1.0391523,2.0241175,-0.264323,-0.8133869,-0.4706124,-0.34677964,4
-0.8905924,-1.0472531,2.0241246,-0.26338175,-0.8121693,-0.46297297,-0.3379358,4
-0.7342361,-1.0415683,2.024119,-0.26413348,-0.8105964,-0.46908408,-0.34123492,4
-0.75914407,-1.0377923,2.0241175,-0.2638414,-0.8094178,-0.4566416,-0.33763784,4
-0.686751,-1.0536934,2.0241182,-0.26364523,-0.80500984,-0.45362177,-0.3415136,4
-0.7291632,-1.0381534,2.0241184,-0.2639928,-0.80290025,-0.45360836,-0.3393332,4
-0.79722816,-1.0606242,2.024119,-0.2624903,-0.802165,-0.4536259,-0.3364475,4
-0.865014,-1.0568093,2.0241199,-0.2621134,-0.802074,-0.45360819,-0.33635908,4
-0.8034182,-1.0596201,2.0241187,-0.2636307,-0.80163366,-0.45360819,-0.3266611,4
-0.6247136,-1.0827178,2.0241191,-0.2632482,-0.801056,-0.45360819,-0.32918218,4
-0.6949054,-1.0662044,2.02412,-0.26438722,-0.8031278,-0.45360819,-0.33448118,4
-0.81503254,-1.087921,2.0241163,-0.26171857,-0.80266047,-0.45360819,-0.32242638,4
-0.8530624,-1.0864716,2.0241172,-0.26258147,-0.8055819,-0.45360819,-0.32830086,4
-0.76001227,-1.0804892,2.0241206,-0.26301956,-0.80635476,-0.45360819,-0.32305676,4
-0.7697516,-1.0939579,2.0241175,-0.2625929,-0.8086386,-0.45360819,-0.32569543,4
-0.70451325,-1.082405,2.024116,-0.26301542,-0.8115669,-0.45360819,-0.33035827,4
-0.7325438,-1.0911356,2.0241187,-0.26192883,-0.811837,-0.45360819,-0.32484084,4
